id,code,name,creator_id,created_at,updated_at,deleted_at,email,phone,fax,tax_number,customer_id,address,media_id,user_id
15,R2B,Ready To Brand,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,d.lottaz@r2b.ch,+41 26 664 03 92,,,15,La Guérite 11,,
16,HDE,CÔNG TY TNHH HANDEE,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,+84 0902482662,,,16,"280F21, đường Lương Định Của, Phường An Phú, Q2",,
17,HYB,Hayabusa,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,+84 (0)945 858 524,,,17,"Đường NA4, KCN Mỹ Phước 2, Bến Cát",,
18,BIS,"Premiumlink Co., Ltd.",1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,+84 903956072,,,18,,,
19,ZDE,Công ty TNHH Zeder Việt Nam,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,PurchasingManager@redranger.com.vn,091 413 77 37,,,19,"Đường số 10, KCN Long Thành, Huyện Long Thành, Tỉnh Đồng Nai",,
20,SHA,Công ty TNHH SHAT,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,0394 383 248,,,20,"20/28/30 Hồ Đắc Di, P.Tây thạnh, Q.Tân phú",,
21,PHA,PH Custom Designs LLC,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,manager@platinumhats.com,+1(302)752-6686,,,21,"205 SE Spokane St., Suite 300, Portland",,
22,JOK,Jok Import SA,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,catia@jokimport.ch,+41 027 763 19 50,,,22,"Ch. des Barrières 2, Case Postale 96",,
23,OPX,Opaltex Sarl,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,eric@ilovemycom.fr,+33 618 879 797,,,23,33 Cours Gouffe,,
24,8JS,8JS,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,delphine.prost@8-js.com,,,,24,,,
25,CSS,Corparate Swag Sarl,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,s.cheng@corporate-swag.ch,+41 79 340 59 99,,,25,Chemin Auguste-Pidou 2,,
26,DUE,"Duel Vietnam, INC",1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,hlozek@duel.co.jp,+84 092-283-5482,,,26,"38 VSIP Street 04, Vietnam Singapore Industrial Park,Thuan An Town",,
27,MAV,Maverick,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+41 79 412 64 37,,,27,,,
28,ETY,Etys,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,,,,28,,,
29,D2A,Thibaud Delapart (D2AM),1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,marc.delapart@teamshape.fr,,,,29,6 Rue Jacques Monod,,
30,JSP,JSP Global Solution Sàrl,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,johann@jspglobalsolution.ch,+41 79 265 59 34,,,30,Route De La Plantay 81,,
31,HGS,Hawkeye Global Solution Inc.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,dingocoffee.co@gmail.com,+1 (403) 400-7985,,,31,3819 Brighton Drive NW,,
32,CAL,Complex Apparel LLC,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,compcastro@gmail.com,+1 8503211978,,,32,"Dungeon Forward Brand, 7504 Viscaya Cir, Margate",,
33,RED,Jim Jannard,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+84 0949 206 7900,,,33,"Intercontinental Residence, Room 2810, Đường Nguyễn Du, Quận 1",,
34,DTZ,Devilz Tattooz,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,devilztattooz@gmail.com,+91-9876543285,,,34,"B-105, 3rd floor, Shivalik",,
35,CAS,Caspersen Import & Trading etc.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,christopher@caspnorway.no,+0047 466 111 66,,,35,Myrvegen 64,,
36,JME,The Canadian International School,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+84 0934921404,,,36,"No.86, Street 23, Tan Phu Ward,District 7",,
37,SSL,Chị Quyên SSL,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,,,,37,,,
38,CFH,Caps From Heaven,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,sabeh@shopcapsfromheaven.com,+33640797327,,,38,3 Rue Robert Estienne,,
39,H&W,Hubb&Wills,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+447583 940198,,,39,16 Voysey Avenue,,
40,AWS,AWSM Kids Apparel,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,allo@awsmkids.com>,+1 418-271-9171,,,40,"79 ch des Melezes. Lac-Beauport, QC",,
41,WWG,Wachter Workwear GmbH,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,031/ 985 85 00,,,41,Riedmoosstrasse 14 Niederwangen,,
42,IRT,IRTIS d.o.o,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+386 (0) 41 222 966,,,42,Radana vas 2a,,
43,SSA,Starshopping SA,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+41 76 433 73 53,,,43,Ch. de Clamogne 27,,
44,JSN,Jérôme Spielmann,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,jerome.spielmann@gmail.com,0041782394030,,,44,Croix-Fédérale 32,,
45,GFC,"G-Force Composites Co., Ltd.",1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+66 38 871320,,,45,24 Ruamitr Road,,
46,ORN,Ornot HQ,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,3236401603,,,46,40 Rondel Pl,,
47,REG,Nadační fond REGI Base I,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+420 775 795 980,,,47,Konviktská 291/24291/24,,
48,GUA,GUAPA MANUFACTURING COMPANY LTD.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,00 44 7411 759 213,,,48,"13 The Brittox, Devizes",,
49,VMN,Van Minh Nguyen,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+41 76 430 62 66,,,49,4414 Füllinsdorf,,
50,OFC,OFFCUT LIMITED,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+64 21888117,,,50,"46 Tovey Street, 46 Tovey Street",,
51,LSD,Luxury Stars Distribution SA,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+ 41 79 412 64 37,,,51,Route du petit moncor 14,,
52,JAD,James Advertising,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,205-253-0253,,,52,"217 York St, Trussville,",,
53,MHS,Midwest Hose & Speciality Inc,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,KJones@MidwestHose.com,(405) 670-6718,,,53,"3312 S I-35 Service Road, Oklahoma City",,
54,CES,C/O Seyfarth Shaw,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,blue_ga_ga@yahoo.com,+852-3956-0621,,,54,"37/F Edinburgh Tower, The Landmark , 15 Queen's Road Central",,
55,PCL,Proper Cloth,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,chris@propercloth.com,2152194283,,,55,"495 broadway, 6th floor",,
56,VND,Công Ty TNHH Happy Live,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,090.820.3368,,,56,"Lầu 2, số 1 đường số 12, KDC Nam Long, P.Tân Thuận Đông, Quận 7",,
57,TAG,The ABC Group LLC.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+84 33 629 4449,,,57,"Vietnam Office - 72/4 Truong Quoc Dung St, Phu Nhuan District",,
58,WMA,Walter Marolf AG,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,m.moeri@marolf.ch,032 396 05 44,,,58,"Höchiweg 2, CH-2577 Finsterhennen",,
59,PRP,PARAPACK,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,7076888602,,,59,"315 w Pierpont ave, Apt. 609, SALT LAKE CITY",,
60,LDS,L&D Support in the Spirit of A&J BV.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,teammanager.lda@gmail.com,+31 634647260,,,60,Valeriusstraat 193,,
61,YPS,Công ty TNHH Rokapi Smiles,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,Jessy@labels-things.com,0901.675.671,,,61,"Tầng 10, tòa nhà Miss Áo dài, 21 Nguyễn Trung Ngạn, Phường Bến Nghé, Quận 1",,
62,ASI,Abbink Studio I,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,abbinkdaniel@gmail.com,+45 53 79 09 69,,,62,"Kildevaeldsgade 69, 3TV, VAT#: 41847344",,
63,UNA,CÔNG TY TNHH UN-AVAILABLE,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,hien.lv@un-available.net,+84 0975 982 005,,,63,"Một Phần lô I/3, Đường số 7, Khu công nghiệp Vĩnh Lộc , Phường Bình Hưng Hòa B, Quận Bình Tân",,
64,EYS,Angel Eyes,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,cedric.rizzo@angeleyes-eyewear.com,+33 (0)6 10 17 41 08,,,64,37-39 rue Jean-Baptiste Charcot,,
65,MCO,Manolo Copenhagen,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,,,,65,,,
66,TVC,"TAGTIME VIETTIEN Co.,",1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,sale01@tagtimevietnam.vn,+84 972882427,,,66,"Binh An IP, Binh Thang ward, Di An Dist",,
67,NIR,NIELS REX & CO.,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,niels@rexco.dk,+45 49 13 99 66,,,67,Oldenvej 10,,
68,NAN,Công ty CPTM Nam Anh,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,+84 098 4462 049,,,68,"Lầu 5, tòa nhà FCC. Số 45 Đinh Tiên Hoàng, Bến Nghé, Quận 1",,
69,,,1,2022-05-03 17:28:41+00:00,2022-05-03 17:28:41+00:00,,,,,,69,,,
70,SA,Sunday Afternoon,232,2022-05-04 08:43:39+00:00,2022-12-01 12:14:26+00:00,,sa.team1@ttdcaps.com,0702991555,,3700341723,70,110-112 đường số 3 -khu Trung Sơn -Bình Hưng -Bình Chánh,,411.0
75,ANE,ANGEL EYES,346,2022-05-04 15:13:45+00:00,2022-05-04 15:13:45+00:00,,cedric.rizzo@angeleyes-eyewear.com,330180886008,,,71,"37-39 rue Jean-Baptiste Charcot, 92400 Courbevoie, France",,
76,RAD,sarl REPLICA ART DISTRIBUTION,346,2022-05-04 15:13:52+00:00,2022-05-04 15:13:52+00:00,,didier.gueugnon@neuf.fr,,,,72,"555 chemin du Carrubier, 83250 LA LONDE LES MAURES, France",,
78,USA,DESIGN YOUR CAPS USA LLC,234,2022-05-05 16:38:14+00:00,2022-05-05 16:38:14+00:00,,dycusa@designyourcaps.com,17862163360,,456,73,"3620 Thomas Avenue, Miami FL 33133",,
79,CH1,DYC Sàrl,234,2022-05-07 16:52:27+00:00,2022-05-07 16:52:27+00:00,,,41765179937,,,74,,,
82,AUS,Design Your Caps Pty Ltd,234,2022-05-07 16:54:37+00:00,2022-05-07 16:54:37+00:00,,jesse@designyourcaps.com.au,61424906650,,,75,,,
83,HEL,"HELISTAR CAMBODIA CO., LTD",346,2022-07-27 15:04:10+00:00,2022-07-27 15:04:10+00:00,,,855888880016,,,76,"Canadia Tower, Building 315, 17th Floor St. Ang Duong corner Monivong Blvd, Phnom Penh, Cambodia.",,
84,ANB,ANTHEM BRANDING LLC,240,2022-09-28 10:49:27+00:00,2022-09-28 10:49:27+00:00,,,,,,77,,,
